Before,After
ida_bytes.f_isNotTail,ida_bytes.f_is_not_tail
ida_funcs.func_setend,ida_funcs.set_func_end
ida_idp.NEXTEAS_ANSWER_SIZE,0
"ida_typeinf.find_tinfo_udt_member(typid, strmem_flags, udm)","ida_typeinf.find_tinfo_udt_member(udm, typid, strmem_flags)"
ida_frame.add_auto_stkpnt2,ida_frame.add_auto_stkpnt
"ida_ua.codeSeg(ea, opnum)","insn = ida_ua.insn_t()
 if ida_ua.decode_insn(insn, ea):
     x = ida_ua.map_code_ea(insn, insn.ops[opnum])
 else:
     x = ida_idaapi.BADADDR"
ida_bytes.isFloat1,ida_bytes.is_float1
ida_ua.tbo_321,0
ida_ida.ASCF_GEN,ida_ida.STRF_GEN
ida_bytes.f_hasRef,ida_bytes.f_has_xref
ida_bytes.get_original_long,ida_bytes.get_original_dword
ida_queue.Q_Qnum,ida_problems.cvar.PR_END
ida_queue.QueueDel,ida_problems.forget_problem
ida_kernwin.PluginForm.FORM_SAVE,ida_kernwin.PluginForm.WCLS_SAVE
ida_ida.AF2_DODATA,ida_ida.AF_DODATA
ida_bytes.f_isOwrd,ida_bytes.f_is_oword
"ida_idp.parse_reg_name(regname, reg_info_t)","ida_idp.parse_reg_name(reg_info_t, regname)"
ida_queue,ida_problems
ida_nalt.ASCSTR_PASCAL,ida_nalt.STRTYPE_PASCAL
ida_lines.describe,ida_lines.add_extra_line
ida_ua.UA_MAXOP,ida_ida.UA_MAXOP
ida_kernwin.choose2_close,ida_kernwin.choose_close
ida_bytes.get_many_bytes_ex,ida_bytes.get_bytes_and_mask
ida_kernwin.clearBreak,ida_kernwin.clr_cancelled
ida_bytes.DOUNK_NOTRUNC,ida_bytes.DELIT_NOTRUNC
ida_typeinf.varloc_t,ida_typeinf.argloc_t
ida_funcs.func_parent_iterator_set2,ida_funcs.func_parent_iterator_set
ida_graph.del_node_info2,ida_graph.del_node_info
ida_bytes.put_long,ida_bytes.put_dword
ida_bytes.do32bit,ida_bytes.create_32bit_data
ida_hexrays.get_tform_vdui,ida_hexrays.get_widget_vdui
ida_srarea.get_srareas_qty2,ida_segregs.get_sreg_range_qty
ida_bytes.isDefArg1,ida_bytes.is_defarg1
ida_enum.get_first_serial_const,ida_enum.get_first_serial_enum_member
ida_kernwin._asklong,_ida_kernwin._ask_long
ida_bytes.isSeg0,ida_bytes.is_seg0
ida_bytes.ywrdflag,ida_bytes.yword_flag
ida_bytes.fltflag,ida_bytes.flt_flag
ida_nalt.switch_info_t.flags,ida_nalt.switch_info_t.flags
"ida_typeinf.save_tinfo(til_t, size_t, name, int, tinfo_t)","ida_typeinf.save_tinfo(tinfo_t, til_t, size_t, name, int)"
ida_ida.idainfo.ASCIIzeroes,ida_ida.idainfo.strlit_zeroes
ida_kernwin.PluginForm.FORM_PERSIST,ida_kernwin.PluginForm.WOPN_PERSIST
ida_bytes.octflag,ida_bytes.oct_flag
ida_bytes.patch_many_bytes,ida_bytes.patch_bytes
ida_typeinf.apply_cdecl2,ida_typeinf.apply_cdecl
ida_expr.Compile,ida_expr.compile_idc_file
ida_typeinf.BFI_NOCONST,0
ida_bytes.isZwrd,ida_bytes.is_zword
ida_bytes.doQwrd,ida_bytes.create_qword
ida_kernwin.Choose2,ida_kernwin.Choose
ida_bytes.tribyteflag,ida_bytes.byte_flag
ida_nalt.ASCSTR_LEN2,ida_nalt.STRTYPE_LEN2
ida_ua.decode_prev_insn(ea),"ida_ua.decode_prev_insn(insn_t, ea)"
ida_nalt.ASCSTR_LAST,7
ida_typeinf.extract_varloc,ida_typeinf.extract_argloc
ida_funcs.func_t.endEA,ida_funcs.func_t.end_ea
ida_bytes.getn_hidden_area,ida_bytes.getn_hidden_range
ida_ida.showComments,ida_ida.show_comments
ida_ida.idainfo.ASCIIsernum,ida_ida.idainfo.strlit_sernum
ida_bytes.doWord,ida_bytes.create_word
ida_expr.VarPrint,ida_expr.print_idcv
ida_bytes.FF_OWRD,ida_bytes.FF_OWORD
ida_srarea.get_prev_srarea,ida_segregs.get_prev_sreg_range
ida_offset.calc_reference_basevalue,ida_offset.calc_basevalue
ida_kernwin.askaddr,ida_kernwin.ask_addr
ida_bytes.packrealflag,ida_bytes.packreal_flag
"ida_typeinf.guess_tinfo(id, tinfo_t)","ida_typeinf.guess_tinfo(tinfo_t, id)"
ida_kernwin.KERNEL_VERSION_MAGIC2,0
ida_nalt.get_encodings_count,ida_nalt.get_encoding_qty
ida_struct.get_member_name2,ida_struct.get_member_name
ida_kernwin.get_tform_title,ida_kernwin.get_widget_title
"ida_name.demangle_name(name, mask)","ida_name.demangle_name(name, mask, ida_name.DQT_FULL)"
ida_kernwin.CB_CLOSE_IDB,ida_kernwin.CB_INVISIBLE
ida_bytes.get_full_word,ida_bytes.get_wide_word
ida_bytes.FF_DWRD,ida_bytes.FF_DWORD
ida_name.is_visible_char,ida_name.is_visible_cp
ida_idp.SETPROC_ALL,ida_idp.SETPROC_LOADER_NON_FATAL
ida_enum.get_next_const,ida_enum.get_next_enum_member
ida_expr.VarPrevAttr,ida_expr.prev_idcv_attr
ida_expr.VarDelAttr,ida_expr.del_idcv_attr
ida_bytes.get_full_long,ida_bytes.get_wide_dword
ida_idp.func_tail_removed,ida_idp.func_tail_deleted
ida_netnode.netnode.hashnxt,ida_netnode.netnode.hashnext
ida_kernwin.UI_Hooks.populating_tform_popup,ida_kernwin.UI_Hooks.populating_widget_popup
ida_bytes.binflag,ida_bytes.bin_flag
ida_ida.AF2_SIGMLT,ida_ida.AF_SIGMLT
ida_idaapi.pycim_get_tform,ida_idaapi.pycim_get_widget
ida_enum.CONST_ERROR_ILLV,ida_enum.ENUM_MEMBER_ERROR_VALUE
ida_bytes.f_isWord,ida_bytes.f_is_word
ida_enum.get_const_value,ida_enum.get_enum_member_value
ida_typeinf.guess_tinfo2,ida_typeinf.guess_tinfo
ida_ida.idainfo.ASCIIpref,ida_ida.idainfo.strlit_pref
ida_bytes.doImmd,ida_bytes.set_immd
ida_bytes.get_hidden_area_qty,ida_bytes.get_hidden_range_qty
ida_ida.idb2scr,ida_ida.lambda thing: thing
"ida_name.do_name_anyway(ea, name, maxlen)","ida_name.force_name(ea, name)"
"ida_bytes.do_unknown_range(ea, size, flags)","ida_bytes.del_items(ea, flags, size)"
ida_bytes.doVar,removed; no substitution
ida_ida.idainfo.startIP,ida_ida.idainfo.start_ip
ida_bytes.f_isByte,ida_bytes.f_is_byte
ida_bytes.isFloat0,ida_bytes.is_float0
ida_kernwin.find_tform,ida_kernwin.find_widget
ida_auto.setStat,ida_auto.set_ida_state
ida_hexrays.hx_get_tform_vdui,ida_hexrays.hx_get_widget_vdui
ida_fixup.FIXUP_REL,ida_fixup.FIXUPF_REL
ida_ua.create_insn(ea),"ida_ua.create_insn(insn_t, ea)"
ida_enum.get_const_bmask,ida_enum.get_enum_member_bmask
ida_bytes.doAlign,ida_bytes.create_align
ida_typeinf.vloc_visitor_t,ida_typeinf.aloc_visitor_t
ida_bytes.ACFOPT_UTF16,0
ida_bytes.doPackReal,ida_bytes.create_packed_real
ida_bytes.isAlign,ida_bytes.is_align
ida_queue.Q_rolled,ida_problems.cvar.PR_ROLLED
ida_ua.tbo_231,0
ida_ida.idainfo.binSize,ida_ida.idainfo.bin_prefix_size
ida_ida.idainfo.beginEA,ida_ida.idainfo.start_ea
ida_ida.AF2_STKARG,ida_ida.AF_STKARG
ida_kernwin.UI_Hooks.tform_invisible,ida_kernwin.UI_Hooks.widget_invisible
ida_enum.del_const,ida_enum.del_enum_member
ida_ida.idainfo.ominEA,ida_ida.idainfo.omin_ea
ida_ida.idainfo.allow_nonmatched_ops,
ida_bytes.doByte,ida_bytes.create_byte
ida_bytes.isChar0,ida_bytes.is_char0
ida_nalt.get_tinfo2,ida_nalt.get_tinfo
"ida_ua.ua_add_dref(opoff, to, rtype)","ida_ua.insn_t.add_dref(to, opoff, rtype)"
ida_name.GN_INSNLOC,0
ida_bytes.FF_ZWRD,ida_bytes.FF_ZWORD
ida_bytes.prevaddr,ida_bytes.prev_addr
ida_srarea.getn_srarea2,ida_segregs.getn_sreg_range
ida_bytes.get_prev_hidden_area,ida_bytes.get_prev_hidden_range
ida_kernwin.AST_DISABLE_FOR_FORM,ida_kernwin.AST_DISABLE_FOR_WIDGET
"ida_enum.get_prev_serial_enum_member(cid, serial)","ida_enum.get_prev_serial_enum_member(serial, cid)"
ida_ua.dt_3byte,ida_ua.dt_byte
ida_bytes.floatflag,ida_bytes.float_flag
ida_bytes.doZwrd,ida_bytes.create_zword
"ida_ua.ua_dodata2(opoff, ea, dtype)","ida_ua.insn_t.create_op_data(ea, opoff, dtype)"
ida_bytes.f_is3byte,lambda *args: False
ida_bytes.get_ascii_contents2,ida_bytes.get_strlit_contents
ida_ida.ansi2idb,ida_ida.lambda thing: thing
ida_typeinf.apply_decl,ida_typeinf.apply_cdecl
ida_kernwin.switchto_tform,ida_kernwin.activate_widget
ida_ida.idainfo.s_null,ida_ida.idainfo.outflags binary operations with: OFLG_GEN_NULL
ida_bytes.getRadix,ida_bytes.get_radix
ida_idp.PR_FULL_HIFXP,0
ida_idp.get_reg_info2,ida_idp.get_reg_info
ida_bytes.alignflag,ida_bytes.align_flag
ida_bytes.DOUNK_DELNAMES,ida_bytes.DELIT_DELNAMES
ida_name.validate_name3(name),"ida_name.validate_name(name, ida_name.VNT_IDENT)"
ida_bytes.get_full_byte,ida_bytes.get_wide_byte
ida_nalt.set_tinfo2,ida_nalt.set_tinfo
ida_expr.VT_STR2,ida_expr.VT_STR
ida_nalt.switch_info_t.flags2,ida_nalt.switch_info_t.flags
ida_expr.VarFirstAttr,ida_expr.first_idcv_attr
ida_ida.idainfo.s_showauto,ida_ida.idainfo.outflags binary operations with: OFLG_SHOW_AUTO
"ida_nalt.get_tinfo(ea, tinfo_t)","ida_nalt.get_tinfo(tinfo_t, ea)"
ida_idp.ph_get_regLastSreg,ida_idp.ph_get_reg_last_sreg
ida_enum.get_const_enum,ida_enum.get_enum_member_enum
ida_enum.get_last_const,ida_enum.get_last_enum_member
ida_idp.AS_NOTAB,0
ida_funcs.func_t.startEA,ida_funcs.func_t.start_ea
ida_nalt.del_switch_info_ex,ida_nalt.del_switch_info
ida_srarea.SetDefaultRegisterValue,ida_segregs.set_default_sreg_value
ida_ida.AF2_DOCODE,ida_ida.AF_DOCODE
ida_typeinf.lower_type2,ida_typeinf.lower_type
"ida_segment.del_segment_cmt(s, rpt)","ida_segment.set_segment_cmt(s, """", rpt)"
ida_ua.get_dtyp_size,ida_ua.get_dtype_size
ida_funcs.add_regarg2,ida_funcs.add_regarg
"ida_ua.ua_stkvar2(x, v, flags)","ida_ua.insn_t.create_stkvar(x, v, flags)"
ida_bytes.isFunc,ida_bytes.is_func
ida_bytes.f_isHead,ida_bytes.f_is_head
ida_typeinf.BFI_NOLOCS,0
ida_offset.calc_reference_target,ida_offset.calc_target
ida_srarea.copy_srareas,ida_segregs.copy_sreg_ranges
ida_ida.AF2_CHKUNI,ida_ida.AF_CHKUNI
"ida_struct.get_member_tinfo(mptr, tinfo_t)","ida_struct.get_member_tinfo(tinfo_t, mptr)"
ida_bytes.f_isStruct,ida_bytes.f_is_struct
"ida_typeinf.find_udt_member(strmem_flags, udm)","ida_typeinf.find_udt_member(udm, strmem_flags)"
ida_kernwin.setBreak,ida_kernwin.set_cancelled
ida_bytes.struflag,ida_bytes.stru_flag
ida_bytes.noType,ida_bytes.clr_op_type
ida_auto.analyze_area,ida_auto.plan_and_wait
ida_auto.showAddr,ida_auto.show_addr
ida_kernwin.KERNEL_VERSION_MAGIC1,0
ida_kernwin.PluginForm.FORM_RESTORE,ida_kernwin.PluginForm.WOPN_RESTORE
ida_queue.Q_noRef,ida_problems.cvar.PR_NOXREFS
ida_bytes.zwrdflag,ida_bytes.zword_flag
ida_bytes.isDefArg,ida_bytes.is_defarg
ida_srarea.getSR,ida_segregs.get_sreg
ida_kernwin.UI_Hooks.tform_visible,ida_kernwin.UI_Hooks.widget_visible
ida_idp.changing_struc,ida_idp.changing_struc_align
ida_bytes.isStkvar0,ida_bytes.is_stkvar0
ida_netnode.netnode.sup1st_idx8,ida_netnode.netnode.supfirst_idx8
ida_kernwin.UI_Hooks.current_tform_changed,ida_kernwin.UI_Hooks.current_widget_changed
ida_bytes.f_isCustom,ida_bytes.f_is_custom
ida_queue.Q_noValid,ida_problems.cvar.PR_ILLADDR
ida_bytes.isOff0,ida_bytes.is_off0
ida_queue.Q_noBase,ida_problems.cvar.PR_NOBASE
ida_bytes.isQwrd,ida_bytes.is_qword
ida_queue.Q_disasm,ida_problems.cvar.PR_DISASM
ida_bytes.isOff,ida_bytes.is_off
ida_graph.clr_node_info2,ida_graph.clr_node_info
ida_bytes.delValue,ida_bytes.del_value
ida_kernwin.PluginForm.FORM_ONTOP,ida_kernwin.PluginForm.WOPN_ONTOP
ida_ida.idainfo.check_manual_ops,
ida_kernwin.UI_Hooks.finish_populating_tform_popup,ida_kernwin.UI_Hooks.finish_populating_widget_popup
ida_ida.AF2_PURDAT,ida_ida.AF_PURDAT
ida_queue.Q_noComm,ida_problems.cvar.PR_NOCMT
ida_bytes.isSeg,ida_bytes.is_seg
"ida_name.make_visible_name(name, size)","ida_name.validate_name(name, ida_name.VNT_VISIBLE)"
ida_auto.autoCancel,ida_auto.auto_cancel
ida_bytes.f_isPackReal,ida_bytes.f_is_pack_real
ida_typeinf.calc_c_cpp_name4,ida_typeinf.calc_c_cpp_name
"ida_frame.get_stkvar(op, v)","ida_frame.get_stkvar(op, insn, v)"
ida_netnode.netnode.char1st,ida_netnode.netnode.charfirst
ida_bytes.isDwrd,ida_bytes.is_dword
ida_netnode.netnode.charnxt,ida_netnode.netnode.charnext
ida_struct.get_or_guess_member_tinfo2,ida_struct.get_or_guess_member_tinfo
ida_segment.ask_selected,ida_segment.sel2para
ida_ida.idainfo.asciiflags,ida_ida.idainfo.strlit_flags
ida_netnode.netnode.alt1st_idx8,ida_netnode.netnode.altfirst_idx8
ida_expr.VarObject,ida_expr.idcv_object
ida_typeinf.choose_local_type,ida_typeinf.choose_local_tinfo
ida_bytes.ACFOPT_ESCAPE,ida_bytes.STRCONV_ESCAPE
