Before,After
idc.PrintLocalTypes,idc.print_decls
idc.set_start_ip(x),"idc.set_inf_attr(INF_START_IP, x)"
idc.NextFuncFchunk,idc.next_func_chunk
idc.SetStrucName,ida_struct.set_struc_name
idc.IdbByte,ida_bytes.get_db_byte
idc.SetBptCndEx,idc.set_bpt_cond
idc.SetStepTraceOptions,ida_dbg.set_step_trace_options
idc.GetTevReturn,ida_dbg.get_ret_tev_return
idc.SetBptAttr,idc.set_bpt_attr
"idc.AddUnion(index, name)","idc.add_struc(index, name, 1)"
idc.CanExceptionContinue,idc.can_exc_continue
idc.SegDelete,idc.del_segm
idc.GetEventPid,idc.get_event_pid
idc.GetRegValue,idc.get_reg_value
idc.Jump,ida_kernwin.jumpto
"idc.MakeName(ea, name)","idc.set_name(ea, name, SN_CHECK)"
idc.SaveTraceFile,ida_dbg.save_trace_file
idc.GetEventEa,idc.get_event_ea
idc.AnalyseArea,idc.plan_and_wait
idc.AF2_SIGCMT,ida_ida.AF_SIGCMT
idc.GetMarkComment,idc.get_bookmark_desc
idc.isByte,ida_bytes.is_byte
idc.PrevFunction,idc.get_prev_func
idc.INF_BORDER,idc.INF_LIMITER
idc.isData,ida_bytes.is_data
idc.GetSpd,idc.get_spd
idc.CheckTraceFile,ida_dbg.is_valid_trace_file
idc.end_type_updating,ida_typeinf.end_type_updating
idc.SEGDEL_SILENT,ida_segment.SEGMOD_SILENT
idc.GetFixupTgtFlags,idc.get_fixup_target_flags
idc.GetStrucNextOff,idc.get_next_offset
idc.AppendFchunk,idc.append_func_tail
idc.GetInputFileSize,idc.retrieve_input_file_size
idc.Eval,idc.eval_idc
idc.DelHashElement,idc.del_hash_string
idc.FIXUP_CREATED,ida_fixup.FIXUPF_CREATED
idc.isChar0,ida_bytes.is_char0
"idc.OpStroff(ea, n, strid)","idc.op_stroff(ea, n, strid, 0)"
idc.SetProcessorType,ida_idp.set_processor_type
idc.Dnext,ida_xref.get_next_dref_from
idc.SetFunctionCmt,idc.set_func_cmt
idc.GetFrameSize,idc.get_frame_size
idc.isTail,ida_bytes.is_tail
idc.ItemSize,idc.get_item_size
idc.CreateArray,idc.create_array
idc.GetConstValue,ida_enum.get_enum_member_value
idc.ValidateNames,idc.validate_idb_names
idc.isFlow,ida_bytes.is_flow
idc.GetConstBmask,ida_enum.get_enum_member_bmask
idc.AddStrucEx,idc.add_struc
"idc.OpAlt1(ea, str)","idc.op_man(ea, 0, str)"
idc.GetString,ida_bytes.get_strlit_contents
idc.NextAddr,ida_bytes.next_addr
idc.MakeFunction,ida_funcs.add_func
idc.SetBmaskName,idc.set_bmask_name
idc.GetStrucName,ida_struct.get_struc_name
idc.MakeNameEx,idc.set_name
idc.SetEnumFlag,ida_enum.set_enum_flag
idc.StepOver,ida_dbg.step_over
idc.isStkvar0,ida_bytes.is_stkvar0
idc.Analysis(x),"idc.set_flag(INF_GENFLAGS, INFFL_AUTO, x)"
idc.SegClass,idc.set_segm_class
idc.GetFixupTgtSel,idc.get_fixup_target_sel
idc.MakeDouble(ea),"ida_bytes.create_data(ea, FF_DOUBLE, 8, ida_idaapi.BADADDR)"
idc.GetString,idc.get_strlit_contents
idc.AnalyseRange,idc.plan_and_wait
idc.GetMaxTev,ida_dbg.get_tev_qty
idc.ASCSTR_ULEN2,ida_nalt.STRTYPE_LEN2_16
idc.GetEnum,ida_enum.get_enum
idc.AddAutoStkPnt2,idc.add_auto_stkpnt
idc.DelBpt,ida_dbg.del_bpt
idc.isOwrd,ida_bytes.is_oword
idc.GetHashLong,idc.get_hash_long
idc.GetModuleName,idc.get_module_name
idc.INF_XREFS,idc.INF_XREFFLAG
idc.SetTraceDesc,ida_dbg.get_trace_file_desc
idc.GetNextHashKey,idc.get_next_hash_key
idc.OpSeg,idc.op_seg
idc.DelSeg,ida_segment.del_segm
"idc.SetReg(ea, reg, value)","idc.split_sreg_range(ea, reg, value, SR_user)"
idc.isASCII,ida_bytes.is_strlit
idc.INF_SIZEOF_ENUM,idc.INF_CC_SIZE_E
idc.GetProcessName(idx),ida_dbg.get_processes()[idx].name
idc.GenerateFile,idc.gen_file
idc.FindImmediate,ida_search.find_imm
idc.GetNextModule,idc.get_next_module
idc.RunPlugin,ida_loader.load_and_run_plugin
"idc.AskStr(defval, prompt)","ida_kernwin.ask_str(defval, 0, prompt)"
idc.NextSeg,idc.get_next_seg
idc.ParseType,idc.parse_decl
idc.SetSelector,ida_segment.set_selector
idc.INF_SIZEOF_LDBL,idc.INF_CC_SIZE_LDBL
idc.OpSign,idc.toggle_sign
idc.GetIdaDirectory,idc.idadir
idc.INF_CHANGE_COUNTER,idc.INF_DATABASE_CHANGE_COUNT
idc.AltOp,ida_bytes.get_forced_operand
idc.isEnum0,ida_bytes.is_enum0
idc.NextHead,idc.next_head
idc.FirstSeg,idc.get_first_seg
idc.hasValue,ida_bytes.has_value
idc.AF2_VERSP,ida_ida.AF_VERSP
idc.FindUnexplored,ida_search.find_unknown
idc.GetPrevHashKey,idc.get_prev_hash_key
idc.AF2_REGARG,ida_ida.AF_REGARG
idc.CmtIndent(x),"idc.set_inf_attr(INF_COMMENT, x)"
idc.GetMemberId,idc.get_member_id
idc.OpNot,idc.toggle_bnot
idc.GetFrameRegsSize(ea),"idc.get_func_attr(ea, FUNCATTR_FRREGS)"
idc.GetOpnd,idc.print_operand
idc.MakeArray,idc.make_array
idc.GetFirstIndex,idc.get_first_index
